,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Goblin Guide,,917511,4,Creatures,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
2,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Grim Lavamancer,,917511,2,Creatures,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
3,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Monastery Swiftspear,,917511,4,Creatures,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
4,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Eidolon of the Great Revel,,917511,4,Creatures,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
6,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Lava Spike,,917511,4,Spells,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
7,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Lightning Bolt,,917511,4,Spells,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
8,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Boros Charm,,917511,4,Spells,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
9,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Lightning Helix,,917511,4,Spells,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
10,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Searing Blaze,,917511,4,Spells,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
11,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Skullcrack,,917511,3,Spells,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
12,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Rift Bolt,,917511,4,Spells,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
14,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Arid Mesa,,917511,1,Lands,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
15,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Bloodstained Mire,,917511,4,Lands,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
16,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Inspiring Vantage,,917511,2,Lands,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
17,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Mountain,,917511,2,Lands,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
18,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Sacred Foundry,,917511,2,Lands,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
19,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Scalding Tarn,,917511,3,Lands,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
20,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Stomping Ground,,917511,1,Lands,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
21,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Wooded Foothills,,917511,4,Lands,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
23,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Grafdigger's Cage,,917511,2,Sideboard,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
24,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Path to Exile,,917511,2,Sideboard,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
25,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Destructive Revelry,,917511,4,Sideboard,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
26,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Searing Blood,,917511,3,Sideboard,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
27,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Skullcrack,,917511,1,Sideboard,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
28,2018-01-30,Burn,modern,0,Competitive Modern League 2018-01-30,235 tix,$ 753,goyo315,,5,Molten Rain,,917511,3,Sideboard,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
1,2018-01-30,Madcap Moon,modern,0,Competitive Modern League 2018-01-30,373 tix,"$ 1,199",cronman87,,5,Snapcaster Mage,,917509,4,Creatures,competitive-modern-league-2018-01-30,competitive-modern-league-2018-01-30
