,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2018-05-04,Ad Nauseam,modern,0,Competitive Modern League 2018-05-04,146 tix,$ 571,DaSneakyPete,,5,Laboratory Maniac,,1077397,1,Creatures,competitive-modern-league-2018-05-04,competitive-modern-league-2018-05-04
2,2018-05-04,Ad Nauseam,modern,0,Competitive Modern League 2018-05-04,146 tix,$ 571,DaSneakyPete,,5,Simian Spirit Guide,,1077397,4,Creatures,competitive-modern-league-2018-05-04,competitive-modern-league-2018-05-04
4,2018-05-04,Ad Nauseam,modern,0,Competitive Modern League 2018-05-04,146 tix,$ 571,DaSneakyPete,,5,Pact of Negation,,1077397,3,Spells,competitive-modern-league-2018-05-04,competitive-modern-league-2018-05-04
5,2018-05-04,Ad Nauseam,modern,0,Competitive Modern League 2018-05-04,146 tix,$ 571,DaSneakyPete,,5,Angel's Grace,,1077397,4,Spells,competitive-modern-league-2018-05-04,competitive-modern-league-2018-05-04
6,2018-05-04,Ad Nauseam,modern,0,Competitive Modern League 2018-05-04,146 tix,$ 571,DaSneakyPete,,5,Serum Visions,,1077397,4,Spells,competitive-modern-league-2018-05-04,competitive-modern-league-2018-05-04
7,2018-05-04,Ad Nauseam,modern,0,Competitive Modern League 2018-05-04,146 tix,$ 571,DaSneakyPete,,5,Sleight of Hand,,1077397,4,Spells,competitive-modern-league-2018-05-04,competitive-modern-league-2018-05-04
8,2018-05-04,Ad Nauseam,modern,0,Competitive Modern League 2018-05-04,146 tix,$ 571,DaSneakyPete,,5,Spoils of the Vault,,1077397,3,Spells,competitive-modern-league-2018-05-04,competitive-modern-league-2018-05-04
9,2018-05-04,Ad Nauseam,modern,0,Competitive Modern League 2018-05-04,146 tix,$ 571,DaSneakyPete,,5,Lightning Storm,,1077397,1,Spells,competitive-modern-league-2018-05-04,competitive-modern-league-2018-05-04
10,2018-05-04,Ad Nauseam,modern,0,Competitive Modern League 2018-05-04,146 tix,$ 571,DaSneakyPete,,5,Ad Nauseam,,1077397,4,Spells,competitive-modern-league-2018-05-04,competitive-modern-league-2018-05-04
12,2018-05-04,Ad Nauseam,modern,0,Competitive Modern League 2018-05-04,146 tix,$ 571,DaSneakyPete,,5,Lotus Bloom,,1077397,4,Artifacts,competitive-modern-league-2018-05-04,competitive-modern-league-2018-05-04
