,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Insolent Neonate,,537101,4,Creatures,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
2,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Bloodghast,,537101,4,Creatures,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
3,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Narcomoeba,,537101,4,Creatures,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
4,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Prized Amalgam,,537101,4,Creatures,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
5,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Stinkweed Imp,,537101,4,Creatures,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
6,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Golgari Grave-Troll,,537101,4,Creatures,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
7,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Scourge Devil,,537101,1,Creatures,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
9,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Conflagrate,,537101,3,Spells,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
10,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Faithless Looting,,537101,4,Spells,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
11,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Cathartic Reunion,,537101,4,Spells,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
12,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Collective Brutality,,537101,1,Spells,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
13,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Life from the Loam,,537101,3,Spells,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
15,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Blood Crypt,,537101,2,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
16,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Bloodstained Mire,,537101,4,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
17,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Copperline Gorge,,537101,4,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
18,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Dakmor Salvage,,537101,2,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
19,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Mountain,,537101,1,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
20,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Steam Vents,,537101,1,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
21,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Stomping Ground,,537101,2,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
22,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Wooded Foothills,,537101,4,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
24,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Darkblast,,537101,1,Sideboard,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
25,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Lightning Axe,,537101,2,Sideboard,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
26,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Nature's Claim,,537101,4,Sideboard,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
27,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Ancient Grudge,,537101,1,Sideboard,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
28,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Collective Brutality,,537101,2,Sideboard,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
29,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Gnaw to the Bone,,537101,1,Sideboard,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
30,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,240 tix,$ 652,KelMasterP,,5,Leyline of the Void,,537101,4,Sideboard,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
1,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Insolent Neonate,,537104,4,Creatures,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
2,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Bloodghast,,537104,4,Creatures,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
3,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Narcomoeba,,537104,4,Creatures,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
4,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Prized Amalgam,,537104,4,Creatures,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
5,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Stinkweed Imp,,537104,4,Creatures,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
6,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Golgari Grave-Troll,,537104,4,Creatures,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
7,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Scourge Devil,,537104,1,Creatures,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
9,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Conflagrate,,537104,3,Spells,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
10,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Faithless Looting,,537104,4,Spells,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
11,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Cathartic Reunion,,537104,4,Spells,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
12,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Collective Brutality,,537104,1,Spells,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
13,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Life from the Loam,,537104,3,Spells,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
15,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Arid Mesa,,537104,4,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
16,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Blood Crypt,,537104,2,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
17,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Copperline Gorge,,537104,4,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
18,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Dakmor Salvage,,537104,2,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
19,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Mountain,,537104,2,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
20,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Steam Vents,,537104,1,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
21,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Stomping Ground,,537104,2,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
22,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Wooded Foothills,,537104,3,Lands,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
24,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Darkblast,,537104,2,Sideboard,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
25,2016-12-31,Dredge,modern,0,Competitive Modern League 2016-12-31,230 tix,$ 700,_Tilt_,,5,Nature's Claim,,537104,4,Sideboard,competitive-modern-league-2016-12-31,competitive-modern-league-2016-12-31
