,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Memnite,,484439,3,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
2,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Ornithopter,,484439,4,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
3,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Signal Pest,,484439,4,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
4,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Arcbound Ravager,,484439,4,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
5,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Steel Overseer,,484439,4,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
6,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Vault Skirge,,484439,4,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
7,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Etched Champion,,484439,2,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
8,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Master of Etherium,,484439,2,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
10,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Galvanic Blast,,484439,4,Spells,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
12,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Mox Opal,,484439,4,Artifacts,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
13,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Springleaf Drum,,484439,4,Artifacts,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
14,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Cranial Plating,,484439,4,Artifacts,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
16,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Blinkmoth Nexus,,484439,4,Lands,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
17,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Darksteel Citadel,,484439,4,Lands,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
18,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Glimmervoid,,484439,3,Lands,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
19,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Inkmoth Nexus,,484439,4,Lands,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
20,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Island,,484439,1,Lands,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
21,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Mountain,,484439,1,Lands,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
23,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Tormod's Crypt,,484439,1,Sideboard,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
24,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Grafdigger's Cage,,484439,2,Sideboard,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
25,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Relic of Progenitus,,484439,1,Sideboard,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
26,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Spell Pierce,,484439,3,Sideboard,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
27,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Ancient Grudge,,484439,1,Sideboard,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
28,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Whipflare,,484439,1,Sideboard,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
29,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Dismember,,484439,2,Sideboard,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
30,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Etched Champion,,484439,2,Sideboard,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
31,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,372 tix,$ 900,ACG88,,5,Ghirapur Aether Grid,,484439,2,Sideboard,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
1,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Memnite,,484442,3,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
2,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Ornithopter,,484442,4,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
3,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Signal Pest,,484442,4,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
4,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Arcbound Ravager,,484442,4,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
5,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Spellskite,,484442,1,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
6,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Steel Overseer,,484442,3,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
7,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Vault Skirge,,484442,4,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
8,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Etched Champion,,484442,2,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
9,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Master of Etherium,,484442,2,Creatures,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
11,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Galvanic Blast,,484442,4,Spells,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
12,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Thoughtcast,,484442,1,Spells,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
14,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Mox Opal,,484442,4,Artifacts,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
15,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Springleaf Drum,,484442,4,Artifacts,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
16,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Cranial Plating,,484442,4,Artifacts,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
18,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Blinkmoth Nexus,,484442,4,Lands,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
19,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Darksteel Citadel,,484442,4,Lands,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
20,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Glimmervoid,,484442,3,Lands,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
21,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Inkmoth Nexus,,484442,4,Lands,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
22,2016-10-02,Affinity,modern,0,Competitive Modern League 2016-10-02,368 tix,$ 921,majinra,,5,Mountain,,484442,1,Lands,competitive-modern-league-2016-10-02,competitive-modern-league-2016-10-02
