,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2016-11-27,U/W Control,modern,,SCG Modern IQ Danbury,339 tix,"$ 1,056",Gabe Soares,1st,,Snapcaster Mage,,520915,4,Creatures,scg-modern-iq-danbury-2016-11-27,scg-modern-iq-danbury
2,2016-11-27,U/W Control,modern,,SCG Modern IQ Danbury,339 tix,"$ 1,056",Gabe Soares,1st,,Torrential Gearhulk,,520915,2,Creatures,scg-modern-iq-danbury-2016-11-27,scg-modern-iq-danbury
4,2016-11-27,U/W Control,modern,,SCG Modern IQ Danbury,339 tix,"$ 1,056",Gabe Soares,1st,,Gideon Jura,,520915,2,Planeswalkers,scg-modern-iq-danbury-2016-11-27,scg-modern-iq-danbury
6,2016-11-27,U/W Control,modern,,SCG Modern IQ Danbury,339 tix,"$ 1,056",Gabe Soares,1st,,Path to Exile,,520915,4,Spells,scg-modern-iq-danbury-2016-11-27,scg-modern-iq-danbury
7,2016-11-27,U/W Control,modern,,SCG Modern IQ Danbury,339 tix,"$ 1,056",Gabe Soares,1st,,Serum Visions,,520915,4,Spells,scg-modern-iq-danbury-2016-11-27,scg-modern-iq-danbury
8,2016-11-27,U/W Control,modern,,SCG Modern IQ Danbury,339 tix,"$ 1,056",Gabe Soares,1st,,Spell Snare,,520915,2,Spells,scg-modern-iq-danbury-2016-11-27,scg-modern-iq-danbury
9,2016-11-27,U/W Control,modern,,SCG Modern IQ Danbury,339 tix,"$ 1,056",Gabe Soares,1st,,Blessed Alliance,,520915,2,Spells,scg-modern-iq-danbury-2016-11-27,scg-modern-iq-danbury
10,2016-11-27,U/W Control,modern,,SCG Modern IQ Danbury,339 tix,"$ 1,056",Gabe Soares,1st,,Logic Knot,,520915,1,Spells,scg-modern-iq-danbury-2016-11-27,scg-modern-iq-danbury
11,2016-11-27,U/W Control,modern,,SCG Modern IQ Danbury,339 tix,"$ 1,056",Gabe Soares,1st,,Mana Leak,,520915,2,Spells,scg-modern-iq-danbury-2016-11-27,scg-modern-iq-danbury
12,2016-11-27,U/W Control,modern,,SCG Modern IQ Danbury,339 tix,"$ 1,056",Gabe Soares,1st,,Shadow of Doubt,,520915,1,Spells,scg-modern-iq-danbury-2016-11-27,scg-modern-iq-danbury
13,2016-11-27,U/W Control,modern,,SCG Modern IQ Danbury,339 tix,"$ 1,056",Gabe Soares,1st,,Sphinx's Revelation,,520915,1,Spells,scg-modern-iq-danbury-2016-11-27,scg-modern-iq-danbury
14,2016-11-27,U/W Control,modern,,SCG Modern IQ Danbury,339 tix,"$ 1,056",Gabe Soares,1st,,Cryptic Command,,520915,4,Spells,scg-modern-iq-danbury-2016-11-27,scg-modern-iq-danbury
15,2016-11-27,U/W Control,modern,,SCG Modern IQ Danbury,339 tix,"$ 1,056",Gabe Soares,1st,,Mystical Teachings,,520915,1,Spells,scg-modern-iq-danbury-2016-11-27,scg-modern-iq-danbury
