,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Snapcaster Mage,,467163,3,Creatures,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
2,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Vendilion Clique,,467163,2,Creatures,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
4,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Jace Beleren,,467163,2,Planeswalkers,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
5,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Gideon Jura,,467163,1,Planeswalkers,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
6,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,"Elspeth, Sun's Champion",,467163,1,Planeswalkers,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
8,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Ancestral Vision,,467163,4,Spells,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
9,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Condemn,,467163,2,Spells,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
10,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Path to Exile,,467163,4,Spells,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
11,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Spell Snare,,467163,2,Spells,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
12,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Logic Knot,,467163,1,Spells,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
13,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Mana Leak,,467163,3,Spells,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
14,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Negate,,467163,1,Spells,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
15,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Timely Reinforcements,,467163,1,Spells,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
16,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Cryptic Command,,467163,3,Spells,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
17,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Supreme Verdict,,467163,2,Spells,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
18,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Wrath of God,,467163,1,Spells,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
20,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Crucible of Worlds,,467163,1,Artifacts,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
22,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Detention Sphere,,467163,1,Enchantments,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
24,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Celestial Colonnade,,467163,4,Lands,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
25,2016-08-28,UW Control,modern,,SCG Modern IQ Dallas,376 tix,"$ 1,093",Zac Elsik,1st,,Flooded Strand,,467163,4,Lands,scg-modern-iq-dallas-2016-08-28,scg-modern-iq-dallas
