,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Grim Flayer,,475384,2,Creatures,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
2,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Scavenging Ooze,,475384,2,Creatures,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
3,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Tarmogoyf,,475384,4,Creatures,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
4,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Tireless Tracker,,475384,1,Creatures,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
5,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,"Kalitas, Traitor of Ghet",,475384,1,Creatures,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
6,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Siege Rhino,,475384,3,Creatures,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
7,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,"Tasigur, the Golden Fang",,475384,2,Creatures,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
9,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Liliana of the Veil,,475384,3,Planeswalkers,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
10,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,"Sorin, Solemn Visitor",,475384,1,Planeswalkers,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
12,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Slaughter Pact,,475384,1,Spells,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
13,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Inquisition of Kozilek,,475384,2,Spells,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
14,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Path to Exile,,475384,4,Spells,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
15,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Thoughtseize,,475384,3,Spells,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
16,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Abrupt Decay,,475384,3,Spells,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
17,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Lingering Souls,,475384,3,Spells,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
18,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Maelstrom Pulse,,475384,1,Spells,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
20,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Forest,,475384,2,Lands,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
21,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Gavony Township,,475384,1,Lands,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
22,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Godless Shrine,,475384,2,Lands,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
23,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Marsh Flats,,475384,3,Lands,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
24,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Overgrown Tomb,,475384,2,Lands,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
25,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Plains,,475384,1,Lands,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
26,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Shambling Vent,,475384,2,Lands,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
27,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Stirring Wildwood,,475384,1,Lands,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
28,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Swamp,,475384,2,Lands,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
29,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Temple Garden,,475384,1,Lands,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
30,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Twilight Mire,,475384,1,Lands,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
31,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Verdant Catacombs,,475384,4,Lands,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
32,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Windswept Heath,,475384,2,Lands,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
34,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Engineered Explosives,,475384,1,Sideboard,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
35,2016-09-11,Abzan,modern,,SCG Modern IQ Franklin,510 tix,"$ 1,555",Joey Cody,1st,,Surgical Extraction,,475384,1,Sideboard,scg-modern-iq-franklin-2016-09-11,scg-modern-iq-franklin
