,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Sakura-Tribe Elder,,260030,4,Creatures,modern-daily-7892640-2015-01-20,modern-daily-7892640
2,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Courser of Kruphix,,260030,2,Creatures,modern-daily-7892640-2015-01-20,modern-daily-7892640
3,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Obstinate Baloth,,260030,2,Creatures,modern-daily-7892640-2015-01-20,modern-daily-7892640
4,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Primeval Titan,,260030,4,Creatures,modern-daily-7892640-2015-01-20,modern-daily-7892640
5,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,"Emrakul, the Aeons Torn",,260030,4,Creatures,modern-daily-7892640-2015-01-20,modern-daily-7892640
7,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Farseek,,260030,2,Spells,modern-daily-7892640-2015-01-20,modern-daily-7892640
8,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Anger of the Gods,,260030,3,Spells,modern-daily-7892640-2015-01-20,modern-daily-7892640
9,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Search for Tomorrow,,260030,4,Spells,modern-daily-7892640-2015-01-20,modern-daily-7892640
10,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Through the Breach,,260030,4,Spells,modern-daily-7892640-2015-01-20,modern-daily-7892640
11,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Summoning Trap,,260030,3,Spells,modern-daily-7892640-2015-01-20,modern-daily-7892640
13,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Chalice of the Void,,260030,3,Artifacts,modern-daily-7892640-2015-01-20,modern-daily-7892640
15,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Arid Mesa,,260030,3,Lands,modern-daily-7892640-2015-01-20,modern-daily-7892640
16,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Blood Crypt,,260030,1,Lands,modern-daily-7892640-2015-01-20,modern-daily-7892640
17,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Forest,,260030,2,Lands,modern-daily-7892640-2015-01-20,modern-daily-7892640
18,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Mountain,,260030,8,Lands,modern-daily-7892640-2015-01-20,modern-daily-7892640
19,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Stomping Ground,,260030,4,Lands,modern-daily-7892640-2015-01-20,modern-daily-7892640
20,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,"Valakut, the Molten Pinnacle",,260030,3,Lands,modern-daily-7892640-2015-01-20,modern-daily-7892640
21,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Wooded Foothills,,260030,4,Lands,modern-daily-7892640-2015-01-20,modern-daily-7892640
23,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Ancient Grudge,,260030,2,Sideboard,modern-daily-7892640-2015-01-20,modern-daily-7892640
24,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Combust,,260030,2,Sideboard,modern-daily-7892640-2015-01-20,modern-daily-7892640
25,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Pyroclasm,,260030,1,Sideboard,modern-daily-7892640-2015-01-20,modern-daily-7892640
26,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Anger of the Gods,,260030,1,Sideboard,modern-daily-7892640-2015-01-20,modern-daily-7892640
27,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Krosan Grip,,260030,1,Sideboard,modern-daily-7892640-2015-01-20,modern-daily-7892640
28,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Boil,,260030,3,Sideboard,modern-daily-7892640-2015-01-20,modern-daily-7892640
29,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Obstinate Baloth,,260030,1,Sideboard,modern-daily-7892640-2015-01-20,modern-daily-7892640
30,2015-01-20,Makeshift,modern,0,Modern Daily #7892640,278 tix,$ 964,kingsammycat,,4,Shatterstorm,,260030,1,Sideboard,modern-daily-7892640-2015-01-20,modern-daily-7892640
