,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Memnite,,587285,2,Creatures,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
2,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Ornithopter,,587285,4,Creatures,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
3,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Signal Pest,,587285,4,Creatures,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
4,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Arcbound Ravager,,587285,4,Creatures,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
5,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Spellskite,,587285,1,Creatures,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
6,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Steel Overseer,,587285,4,Creatures,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
7,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Vault Skirge,,587285,4,Creatures,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
8,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Etched Champion,,587285,2,Creatures,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
9,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Master of Etherium,,587285,2,Creatures,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
11,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Galvanic Blast,,587285,4,Spells,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
13,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Mox Opal,,587285,4,Artifacts,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
14,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Springleaf Drum,,587285,4,Artifacts,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
15,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Cranial Plating,,587285,4,Artifacts,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
17,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Blinkmoth Nexus,,587285,4,Lands,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
18,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Darksteel Citadel,,587285,4,Lands,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
19,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Glimmervoid,,587285,3,Lands,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
20,2017-03-06,Affinity,modern,0,2017 TCGplayer States - MO,378 tix,$ 938,SamoJamo,,5,Inkmoth Nexus,,587285,4,Lands,2017-tcgplayer-states---mo-2017-03-06,2017-tcgplayer-states---mo
