,number,card,card_type,type,W,L,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
1,4,Birds of Paradise,,Creatures,4,0,Kiki-Pod,visitor636,309 tix,$ 780,220057,2014-02-04,Modern Daily #6683963,modern,modern-daily-6683963,modern-daily-6683963-2014-02-04
2,4,Noble Hierarch,,Creatures,4,0,Kiki-Pod,visitor636,309 tix,$ 780,220057,2014-02-04,Modern Daily #6683963,modern,modern-daily-6683963,modern-daily-6683963-2014-02-04
3,1,Fauna Shaman,,Creatures,4,0,Kiki-Pod,visitor636,309 tix,$ 780,220057,2014-02-04,Modern Daily #6683963,modern,modern-daily-6683963,modern-daily-6683963-2014-02-04
4,1,Phantasmal Image,,Creatures,4,0,Kiki-Pod,visitor636,309 tix,$ 780,220057,2014-02-04,Modern Daily #6683963,modern,modern-daily-6683963,modern-daily-6683963-2014-02-04
5,1,Qasali Pridemage,,Creatures,4,0,Kiki-Pod,visitor636,309 tix,$ 780,220057,2014-02-04,Modern Daily #6683963,modern,modern-daily-6683963,modern-daily-6683963-2014-02-04
6,1,Scavenging Ooze,,Creatures,4,0,Kiki-Pod,visitor636,309 tix,$ 780,220057,2014-02-04,Modern Daily #6683963,modern,modern-daily-6683963,modern-daily-6683963-2014-02-04
7,1,Spellskite,,Creatures,4,0,Kiki-Pod,visitor636,309 tix,$ 780,220057,2014-02-04,Modern Daily #6683963,modern,modern-daily-6683963,modern-daily-6683963-2014-02-04
8,1,Strangleroot Geist,,Creatures,4,0,Kiki-Pod,visitor636,309 tix,$ 780,220057,2014-02-04,Modern Daily #6683963,modern,modern-daily-6683963,modern-daily-6683963-2014-02-04
9,1,Voice of Resurgence,,Creatures,4,0,Kiki-Pod,visitor636,309 tix,$ 780,220057,2014-02-04,Modern Daily #6683963,modern,modern-daily-6683963,modern-daily-6683963-2014-02-04
10,1,Wall of Roots,,Creatures,4,0,Kiki-Pod,visitor636,309 tix,$ 780,220057,2014-02-04,Modern Daily #6683963,modern,modern-daily-6683963,modern-daily-6683963-2014-02-04
