,number,card,card_type,type,W,L,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
1,1,Dryad Arbor,,Creatures,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
2,4,Gladecover Scout,,Creatures,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
3,4,Slippery Bogle,,Creatures,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
4,4,Kor Spiritdancer,,Creatures,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
6,2,Path to Exile,,Spells,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
8,4,Ethereal Armor,,Enchantments,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
9,4,Hyena Umbra,,Enchantments,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
10,2,Keen Sense,,Enchantments,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
11,4,Rancor,,Enchantments,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
12,4,Spider Umbra,,Enchantments,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
13,2,Spirit Link,,Enchantments,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
14,4,Daybreak Coronet,,Enchantments,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
15,2,Spirit Mantle,,Enchantments,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
17,1,Forest,,Lands,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
18,4,Horizon Canopy,,Lands,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
19,2,Plains,,Lands,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
20,4,Razorverge Thicket,,Lands,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
21,4,Temple Garden,,Lands,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
22,4,Verdant Catacombs,,Lands,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
24,2,Nature's Claim,,Sideboard,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
25,1,Path to Exile,,Sideboard,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
26,1,Gaddock Teeg,,Sideboard,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
27,2,Rest in Peace,,Sideboard,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
28,3,Stony Silence,,Sideboard,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
29,2,Torpor Orb,,Sideboard,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
30,4,Leyline of Sanctity,,Sideboard,5,0,Bogles,KillerKipNL,340 tix,$ 940,217521,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
1,4,Deathrite Shaman,,Creatures,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
2,4,Dark Confidant,,Creatures,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
3,3,Scavenging Ooze,,Creatures,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
4,4,Tarmogoyf,,Creatures,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
6,4,Liliana of the Veil,,Planeswalkers,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
8,1,Disfigure,,Spells,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
9,3,Inquisition of Kozilek,,Spells,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
10,3,Thoughtseize,,Spells,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
11,3,Abrupt Decay,,Spells,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
12,2,Dismember,,Spells,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
13,4,Lingering Souls,,Spells,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
14,1,Maelstrom Pulse,,Spells,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
16,1,Forest,,Lands,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
17,1,Godless Shrine,,Lands,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
18,4,Marsh Flats,,Lands,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
19,2,Overgrown Tomb,,Lands,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
20,2,Swamp,,Lands,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
21,4,Tectonic Edge,,Lands,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
22,1,Temple Garden,,Lands,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
23,4,Treetop Village,,Lands,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
24,1,Twilight Mire,,Lands,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
25,4,Verdant Catacombs,,Lands,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
27,1,Disfigure,,Sideboard,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
28,1,Relic of Progenitus,,Sideboard,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
29,1,Thoughtseize,,Sideboard,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
30,1,Abrupt Decay,,Sideboard,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
31,2,Stony Silence,,Sideboard,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
32,1,Torpor Orb,,Sideboard,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
33,3,Rain of Tears,,Sideboard,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
34,1,Sword of Light and Shadow,,Sideboard,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
35,2,Creeping Corrosion,,Sideboard,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
36,2,Curse of Death's Hold,,Sideboard,5,0,Jund,kuusama,524 tix,"$ 1,794",217522,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
1,2,Wurmcoil Engine,,Creatures,5,0,RG Tron,EugeneB,251 tix,$ 723,217525,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
2,1,"Ulamog, the Infinite Gyre",,Creatures,5,0,RG Tron,EugeneB,251 tix,$ 723,217525,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
4,4,Karn Liberated,,Planeswalkers,5,0,RG Tron,EugeneB,251 tix,$ 723,217525,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
6,4,Ancient Stirrings,,Spells,5,0,RG Tron,EugeneB,251 tix,$ 723,217525,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
7,4,Pyroclasm,,Spells,5,0,RG Tron,EugeneB,251 tix,$ 723,217525,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
8,4,Sylvan Scrying,,Spells,5,0,RG Tron,EugeneB,251 tix,$ 723,217525,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
10,4,Chromatic Sphere,,Artifacts,5,0,RG Tron,EugeneB,251 tix,$ 723,217525,2014-01-18,Modern Premier #6622190,modern,modern-premier-6622190,modern-premier-6622190-2014-01-18
