,number,card,card_type,type,W,L,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
1,3,Snapcaster Mage,,Creatures,4,0,Azorius Midrange,chaba_lol,299 tix,"$ 1,041",230889,2014-04-21,Modern Daily #7008983,modern,modern-daily-7008983,modern-daily-7008983-2014-04-21
2,3,Vendilion Clique,,Creatures,4,0,Azorius Midrange,chaba_lol,299 tix,"$ 1,041",230889,2014-04-21,Modern Daily #7008983,modern,modern-daily-7008983,modern-daily-7008983-2014-04-21
4,2,"Elspeth, Knight-Errant",,Planeswalkers,4,0,Azorius Midrange,chaba_lol,299 tix,"$ 1,041",230889,2014-04-21,Modern Daily #7008983,modern,modern-daily-7008983,modern-daily-7008983-2014-04-21
5,2,Gideon Jura,,Planeswalkers,4,0,Azorius Midrange,chaba_lol,299 tix,"$ 1,041",230889,2014-04-21,Modern Daily #7008983,modern,modern-daily-7008983,modern-daily-7008983-2014-04-21
7,4,Path to Exile,,Spells,4,0,Azorius Midrange,chaba_lol,299 tix,"$ 1,041",230889,2014-04-21,Modern Daily #7008983,modern,modern-daily-7008983,modern-daily-7008983-2014-04-21
8,3,Serum Visions,,Spells,4,0,Azorius Midrange,chaba_lol,299 tix,"$ 1,041",230889,2014-04-21,Modern Daily #7008983,modern,modern-daily-7008983,modern-daily-7008983-2014-04-21
9,4,Spell Snare,,Spells,4,0,Azorius Midrange,chaba_lol,299 tix,"$ 1,041",230889,2014-04-21,Modern Daily #7008983,modern,modern-daily-7008983,modern-daily-7008983-2014-04-21
10,4,Mana Leak,,Spells,4,0,Azorius Midrange,chaba_lol,299 tix,"$ 1,041",230889,2014-04-21,Modern Daily #7008983,modern,modern-daily-7008983,modern-daily-7008983-2014-04-21
11,1,Sphinx's Revelation,,Spells,4,0,Azorius Midrange,chaba_lol,299 tix,"$ 1,041",230889,2014-04-21,Modern Daily #7008983,modern,modern-daily-7008983,modern-daily-7008983-2014-04-21
12,4,Cryptic Command,,Spells,4,0,Azorius Midrange,chaba_lol,299 tix,"$ 1,041",230889,2014-04-21,Modern Daily #7008983,modern,modern-daily-7008983,modern-daily-7008983-2014-04-21
13,3,Supreme Verdict,,Spells,4,0,Azorius Midrange,chaba_lol,299 tix,"$ 1,041",230889,2014-04-21,Modern Daily #7008983,modern,modern-daily-7008983,modern-daily-7008983-2014-04-21
15,2,Detention Sphere,,Enchantments,4,0,Azorius Midrange,chaba_lol,299 tix,"$ 1,041",230889,2014-04-21,Modern Daily #7008983,modern,modern-daily-7008983,modern-daily-7008983-2014-04-21
17,2,Calciform Pools,,Lands,4,0,Azorius Midrange,chaba_lol,299 tix,"$ 1,041",230889,2014-04-21,Modern Daily #7008983,modern,modern-daily-7008983,modern-daily-7008983-2014-04-21
