,number,card,card_type,type,W,L,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
1,4,Simian Spirit Guide,,Creatures,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
3,4,Angel's Grace,,Spells,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
4,4,Gitaxian Probe,,Spells,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
5,2,Peek,,Spells,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
6,4,Serum Visions,,Spells,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
7,4,Sleight of Hand,,Spells,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
8,3,Thoughtseize,,Spells,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
9,2,Peer Through Depths,,Spells,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
10,1,Lightning Storm,,Spells,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
11,1,Mystical Teachings,,Spells,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
12,4,Ad Nauseam,,Spells,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
14,4,Lotus Bloom,,Artifacts,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
15,3,Pentad Prism,,Artifacts,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
17,2,Phyrexian Unlife,,Enchantments,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
19,2,Arid Mesa,,Lands,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
20,1,Darkslick Shores,,Lands,4,0,Ad Nauseam,duhaimination,101 tix,$ 506,227310,2014-04-02,Modern Daily #6923091,modern,modern-daily-6923091,modern-daily-6923091-2014-04-02
