,number,card,card_type,type,W,L,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
1,3,Memnite,,Creatures,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
2,4,Ornithopter,,Creatures,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
3,4,Signal Pest,,Creatures,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
4,4,Arcbound Ravager,,Creatures,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
5,4,Steel Overseer,,Creatures,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
6,4,Vault Skirge,,Creatures,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
7,2,Etched Champion,,Creatures,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
8,2,Master of Etherium,,Creatures,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
10,2,Galvanic Blast,,Spells,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
11,2,Thoughtcast,,Spells,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
13,4,Mox Opal,,Artifacts,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
14,4,Springleaf Drum,,Artifacts,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
15,4,Cranial Plating,,Artifacts,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
17,4,Blinkmoth Nexus,,Lands,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
18,4,Darksteel Citadel,,Lands,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
19,4,Glimmervoid,,Lands,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
20,4,Inkmoth Nexus,,Lands,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
21,1,Island,,Lands,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
23,1,Tormod's Crypt,,Sideboard,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
24,1,Grafdigger's Cage,,Sideboard,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
25,1,Illness in the Ranks,,Sideboard,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
26,2,Thoughtseize,,Sideboard,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
27,2,Ancient Grudge,,Sideboard,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
28,2,Spellskite,,Sideboard,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
29,1,Whipflare,,Sideboard,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
30,1,Blood Moon,,Sideboard,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
31,1,Dismember,,Sideboard,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
32,2,Etched Champion,,Sideboard,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
33,1,Rule of Law,,Sideboard,5,0,Affinity,BLUEDEVlL,390 tix,$ 950,232864,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
1,3,Memnite,,Creatures,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
2,4,Ornithopter,,Creatures,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
3,4,Signal Pest,,Creatures,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
4,4,Arcbound Ravager,,Creatures,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
5,4,Steel Overseer,,Creatures,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
6,4,Vault Skirge,,Creatures,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
7,2,Etched Champion,,Creatures,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
8,2,Master of Etherium,,Creatures,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
10,2,Galvanic Blast,,Spells,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
11,2,Thoughtcast,,Spells,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
13,4,Mox Opal,,Artifacts,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
14,4,Springleaf Drum,,Artifacts,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
15,4,Cranial Plating,,Artifacts,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
17,4,Blinkmoth Nexus,,Lands,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
18,4,Darksteel Citadel,,Lands,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
19,4,Glimmervoid,,Lands,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
20,4,Inkmoth Nexus,,Lands,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
21,1,Island,,Lands,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
23,1,Grafdigger's Cage,,Sideboard,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
24,1,Illness in the Ranks,,Sideboard,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
25,1,Relic of Progenitus,,Sideboard,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
26,2,Thoughtseize,,Sideboard,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
27,2,Ancient Grudge,,Sideboard,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
28,2,Spellskite,,Sideboard,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
29,1,Whipflare,,Sideboard,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
30,1,Blood Moon,,Sideboard,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
31,2,Dismember,,Sideboard,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
32,1,Etched Champion,,Sideboard,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
33,1,Rule of Law,,Sideboard,5,0,Affinity,MagicMarki,395 tix,$ 954,232867,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
1,4,Rakdos Cackler,,Creatures,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
2,4,Spark Elemental,,Creatures,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
3,4,Hellspark Elemental,,Creatures,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
5,4,Lava Spike,,Spells,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
6,4,Lightning Bolt,,Spells,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
7,4,Shard Volley,,Spells,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
8,4,Searing Blaze,,Spells,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
9,4,Skullcrack,,Spells,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
10,4,Flames of the Blood Hand,,Spells,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
11,4,Rift Bolt,,Spells,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
13,20,Mountain,,Lands,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
15,1,Relic of Progenitus,,Sideboard,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
16,2,Combust,,Sideboard,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
17,4,Satyr Firedancer,,Sideboard,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
18,3,Searing Blood,,Sideboard,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
19,3,Smash to Smithereens,,Sideboard,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
20,2,Flamebreak,,Sideboard,5,0,Burn,WilliamRegal,12 tix,$ 84,232868,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
1,4,Dark Confidant,,Creatures,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
2,3,Scavenging Ooze,,Creatures,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
3,4,Tarmogoyf,,Creatures,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
4,3,Courser of Kruphix,,Creatures,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
5,2,"Thrun, the Last Troll",,Creatures,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
7,4,Liliana of the Veil,,Planeswalkers,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
9,1,Slaughter Pact,,Spells,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
10,4,Inquisition of Kozilek,,Spells,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
11,3,Thoughtseize,,Spells,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
12,4,Abrupt Decay,,Spells,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
13,2,Dismember,,Spells,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
14,2,Maelstrom Pulse,,Spells,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
16,1,Forest,,Lands,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
17,2,Marsh Flats,,Lands,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
18,3,Overgrown Tomb,,Lands,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
19,2,Swamp,,Lands,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
20,4,Tectonic Edge,,Lands,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
21,4,Treetop Village,,Lands,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
22,2,Twilight Mire,,Lands,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
23,1,"Urborg, Tomb of Yawgmoth",,Lands,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
24,4,Verdant Catacombs,,Lands,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
25,1,Woodland Cemetery,,Lands,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
27,2,Grafdigger's Cage,,Sideboard,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
28,1,Thoughtseize,,Sideboard,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
29,1,Back to Nature,,Sideboard,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
30,2,Devour Flesh,,Sideboard,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
31,1,Golgari Charm,,Sideboard,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
32,1,Scavenging Ooze,,Sideboard,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
33,3,Fulminator Mage,,Sideboard,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
34,1,Kitchen Finks,,Sideboard,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
35,2,Creeping Corrosion,,Sideboard,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
36,1,Batterskull,,Sideboard,5,0,Jund,_Batutinha_,593 tix,"$ 1,889",232865,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
1,4,Dark Confidant,,Creatures,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
2,4,Scavenging Ooze,,Creatures,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
3,4,Tarmogoyf,,Creatures,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
4,3,Kitchen Finks,,Creatures,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
5,1,"Thrun, the Last Troll",,Creatures,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
7,4,Liliana of the Veil,,Planeswalkers,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
9,1,Slaughter Pact,,Spells,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
10,4,Inquisition of Kozilek,,Spells,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
11,3,Thoughtseize,,Spells,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
12,4,Abrupt Decay,,Spells,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
13,2,Dismember,,Spells,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
14,2,Maelstrom Pulse,,Spells,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
16,1,Forest,,Lands,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
17,2,Marsh Flats,,Lands,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
18,3,Overgrown Tomb,,Lands,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
19,3,Swamp,,Lands,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
20,4,Tectonic Edge,,Lands,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
21,4,Treetop Village,,Lands,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
22,2,Twilight Mire,,Lands,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
23,4,Verdant Catacombs,,Lands,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
24,1,Woodland Cemetery,,Lands,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
26,1,Thoughtseize,,Sideboard,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
27,2,Drown in Sorrow,,Sideboard,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
28,1,Kitchen Finks,,Sideboard,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
29,4,Rain of Tears,,Sideboard,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
30,2,Creeping Corrosion,,Sideboard,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
31,1,Damnation,,Sideboard,5,0,Jund,im2g00t4ubarn,547 tix,"$ 1,816",232869,2014-05-11,Modern Premier #7074880,modern,modern-premier-7074880,modern-premier-7074880-2014-05-11
