,number,card,card_type,type,W,L,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
1,3,Memnite,,Creatures,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
2,4,Ornithopter,,Creatures,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
3,4,Signal Pest,,Creatures,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
4,4,Arcbound Ravager,,Creatures,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
5,4,Steel Overseer,,Creatures,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
6,4,Vault Skirge,,Creatures,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
7,3,Master of Etherium,,Creatures,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
9,3,Galvanic Blast,,Spells,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
11,4,Mox Opal,,Artifacts,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
12,3,Welding Jar,,Artifacts,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
13,3,Springleaf Drum,,Artifacts,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
14,4,Cranial Plating,,Artifacts,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
16,4,Blinkmoth Nexus,,Lands,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
17,4,Darksteel Citadel,,Lands,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
18,4,Glimmervoid,,Lands,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
19,4,Inkmoth Nexus,,Lands,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
20,1,Island,,Lands,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
22,3,Relic of Progenitus,,Sideboard,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
23,2,Ancient Grudge,,Sideboard,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
24,2,Spellskite,,Sideboard,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
25,2,Unified Will,,Sideboard,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
26,3,Whipflare,,Sideboard,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
27,3,Blood Moon,,Sideboard,6,0,Affinity,_megafone_,405 tix,$ 957,222153,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
1,4,Fulminator Mage,,Creatures,5,1,Living End,Mairsil,172 tix,$ 737,222151,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
2,2,Simian Spirit Guide,,Creatures,5,1,Living End,Mairsil,172 tix,$ 737,222151,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
3,2,Spike Feeder,,Creatures,5,1,Living End,Mairsil,172 tix,$ 737,222151,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
4,4,Deadshot Minotaur,,Creatures,5,1,Living End,Mairsil,172 tix,$ 737,222151,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
5,4,Monstrous Carabid,,Creatures,5,1,Living End,Mairsil,172 tix,$ 737,222151,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
6,3,Shriekmaw,,Creatures,5,1,Living End,Mairsil,172 tix,$ 737,222151,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
7,4,Street Wraith,,Creatures,5,1,Living End,Mairsil,172 tix,$ 737,222151,2014-02-23,Modern Premier #6767335,modern,modern-premier-6767335,modern-premier-6767335-2014-02-23
