,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2016-02-06,Colorless Eldrazi,modern,,SCG Regionals Chicago,222 tix,$ 677,Chin-Chen Yeh,1st,,Endless One,,375695,4,Creatures,scg-regionals-chicago-2016-02-06,scg-regionals-chicago
2,2016-02-06,Colorless Eldrazi,modern,,SCG Regionals Chicago,222 tix,$ 677,Chin-Chen Yeh,1st,,Eldrazi Mimic,,375695,4,Creatures,scg-regionals-chicago-2016-02-06,scg-regionals-chicago
3,2016-02-06,Colorless Eldrazi,modern,,SCG Regionals Chicago,222 tix,$ 677,Chin-Chen Yeh,1st,,Spellskite,,375695,3,Creatures,scg-regionals-chicago-2016-02-06,scg-regionals-chicago
4,2016-02-06,Colorless Eldrazi,modern,,SCG Regionals Chicago,222 tix,$ 677,Chin-Chen Yeh,1st,,Matter Reshaper,,375695,4,Creatures,scg-regionals-chicago-2016-02-06,scg-regionals-chicago
5,2016-02-06,Colorless Eldrazi,modern,,SCG Regionals Chicago,222 tix,$ 677,Chin-Chen Yeh,1st,,Simian Spirit Guide,,375695,4,Creatures,scg-regionals-chicago-2016-02-06,scg-regionals-chicago
6,2016-02-06,Colorless Eldrazi,modern,,SCG Regionals Chicago,222 tix,$ 677,Chin-Chen Yeh,1st,,Thought-Knot Seer,,375695,4,Creatures,scg-regionals-chicago-2016-02-06,scg-regionals-chicago
7,2016-02-06,Colorless Eldrazi,modern,,SCG Regionals Chicago,222 tix,$ 677,Chin-Chen Yeh,1st,,Reality Smasher,,375695,4,Creatures,scg-regionals-chicago-2016-02-06,scg-regionals-chicago
9,2016-02-06,Colorless Eldrazi,modern,,SCG Regionals Chicago,222 tix,$ 677,Chin-Chen Yeh,1st,,Spatial Contortion,,375695,1,Spells,scg-regionals-chicago-2016-02-06,scg-regionals-chicago
10,2016-02-06,Colorless Eldrazi,modern,,SCG Regionals Chicago,222 tix,$ 677,Chin-Chen Yeh,1st,,Dismember,,375695,4,Spells,scg-regionals-chicago-2016-02-06,scg-regionals-chicago
12,2016-02-06,Colorless Eldrazi,modern,,SCG Regionals Chicago,222 tix,$ 677,Chin-Chen Yeh,1st,,Chalice of the Void,,375695,4,Artifacts,scg-regionals-chicago-2016-02-06,scg-regionals-chicago
