,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Hangarback Walker,,363214,4,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
2,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Memnite,,363214,3,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
3,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Ornithopter,,363214,4,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
4,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Signal Pest,,363214,4,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
5,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Arcbound Ravager,,363214,4,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
6,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Steel Overseer,,363214,3,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
7,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Vault Skirge,,363214,4,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
8,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Master of Etherium,,363214,4,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
10,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Mox Opal,,363214,4,Artifacts,modern-daily-9261477-2016-01-17,modern-daily-9261477
11,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Springleaf Drum,,363214,4,Artifacts,modern-daily-9261477-2016-01-17,modern-daily-9261477
12,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Cranial Plating,,363214,4,Artifacts,modern-daily-9261477-2016-01-17,modern-daily-9261477
14,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Ensoul Artifact,,363214,2,Enchantments,modern-daily-9261477-2016-01-17,modern-daily-9261477
16,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Blinkmoth Nexus,,363214,4,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
17,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Darksteel Citadel,,363214,4,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
18,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Glimmervoid,,363214,3,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
19,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Inkmoth Nexus,,363214,4,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
20,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Island,,363214,1,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
22,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Grafdigger's Cage,,363214,1,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
23,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Relic of Progenitus,,363214,1,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
24,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Spell Pierce,,363214,1,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
25,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Thoughtseize,,363214,2,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
26,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Ancient Grudge,,363214,3,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
27,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Spellskite,,363214,2,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
28,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Torpor Orb,,363214,1,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
29,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Blood Moon,,363214,2,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
30,2016-01-17,Affinity,modern,0,Modern Daily #9261477,410 tix,$ 949,zhangzhiyang,,4,Ghirapur Aether Grid,,363214,2,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
1,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Simian Spirit Guide,,363215,4,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
3,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Pact of Negation,,363215,2,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
4,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Angel's Grace,,363215,4,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
5,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Conflagrate,,363215,1,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
6,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Serum Visions,,363215,4,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
7,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Sleight of Hand,,363215,4,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
8,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Spoils of the Vault,,363215,3,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
9,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Pyretic Ritual,,363215,1,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
10,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Lightning Storm,,363215,1,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
12,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Lotus Bloom,,363215,4,Artifacts,modern-daily-9261477-2016-01-17,modern-daily-9261477
13,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Pentad Prism,,363215,4,Artifacts,modern-daily-9261477-2016-01-17,modern-daily-9261477
15,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Phyrexian Unlife,,363215,4,Enchantments,modern-daily-9261477-2016-01-17,modern-daily-9261477
17,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Ad nauseam,,363215,4,Others,modern-daily-9261477-2016-01-17,modern-daily-9261477
19,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,City of Brass,,363215,1,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
20,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Darkslick Shores,,363215,4,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
21,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Gemstone Mine,,363215,4,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
22,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Island,,363215,1,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
23,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Plains,,363215,1,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
24,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Seachrome Coast,,363215,4,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
25,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Temple of Deceit,,363215,4,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
26,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Temple of Enlightenment,,363215,1,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
28,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,"Boseiju, Who Shelters All",,363215,1,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
29,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Pact of Negation,,363215,2,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
30,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Ethereal Haze,,363215,2,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
31,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Echoing Truth,,363215,1,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
32,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Drown in Sorrow,,363215,2,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
33,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Laboratory Maniac,,363215,1,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
34,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Leyline of Sanctity,,363215,4,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
35,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Patrician's Scorn,,363215,1,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
36,2016-01-17,Ad Nauseam,modern,1,Modern Daily #9261477,137 tix,$ 544,nickwhispers,,3,Dragonlord Dromoka,,363215,1,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
1,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Goblin Guide,,363217,4,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
2,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Monastery Swiftspear,,363217,4,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
3,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Ash Zealot,,363217,2,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
4,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Eidolon of the Great Revel,,363217,4,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
6,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Lava Spike,,363217,4,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
7,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Lightning Bolt,,363217,4,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
8,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Shard Volley,,363217,2,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
9,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Boros Charm,,363217,2,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
10,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Lightning Helix,,363217,4,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
11,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Searing Blaze,,363217,4,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
12,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Skullcrack,,363217,4,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
13,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Wear // Tear,,363217,1,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
15,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Blood Moon,,363217,1,Enchantments,modern-daily-9261477-2016-01-17,modern-daily-9261477
17,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Arid Mesa,,363217,4,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
18,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Bloodstained Mire,,363217,4,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
19,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Mountain,,363217,6,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
20,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Plains,,363217,1,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
21,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Sacred Foundry,,363217,1,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
22,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Wooded Foothills,,363217,4,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
24,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Path to Exile,,363217,1,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
25,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Pyrite Spellbomb,,363217,2,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
26,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Combust,,363217,2,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
27,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Deflecting Palm,,363217,1,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
28,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Smash to Smithereens,,363217,1,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
29,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Molten Rain,,363217,1,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
30,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Rift Bolt,,363217,3,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
31,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Volcanic Fallout,,363217,2,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
32,2016-01-17,Burn,modern,1,Modern Daily #9261477,212 tix,$ 573,SherriffWhalley,,3,Wear // Tear,,363217,2,Sideboard,modern-daily-9261477-2016-01-17,modern-daily-9261477
1,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Dark Confidant,,363216,4,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
2,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Scavenging Ooze,,363216,3,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
3,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Tarmogoyf,,363216,4,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
4,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Courser of Kruphix,,363216,2,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
5,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Olivia Voldaren,,363216,1,Creatures,modern-daily-9261477-2016-01-17,modern-daily-9261477
7,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Liliana of the Veil,,363216,4,Planeswalkers,modern-daily-9261477-2016-01-17,modern-daily-9261477
9,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Inquisition of Kozilek,,363216,3,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
10,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Lightning Bolt,,363216,4,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
11,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Thoughtseize,,363216,3,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
12,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Abrupt Decay,,363216,2,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
13,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Terminate,,363216,3,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
14,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Kolaghan's Command,,363216,2,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
15,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Maelstrom Pulse,,363216,1,Spells,modern-daily-9261477-2016-01-17,modern-daily-9261477
17,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Blackcleave Cliffs,,363216,4,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
18,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Blood Crypt,,363216,1,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
19,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Bloodstained Mire,,363216,3,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
20,2016-01-17,Jund,modern,1,Modern Daily #9261477,683 tix,"$ 2,224",EronRelentless,,3,Forest,,363216,1,Lands,modern-daily-9261477-2016-01-17,modern-daily-9261477
