,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2016-04-24,Merfolk,modern,,States Coopersburg,360 tix,$ 955,Jason Zielinski,1st,,Cursecatcher,,407974,4,Creatures,states-coopersburg-2016-04-24,states-coopersburg
2,2016-04-24,Merfolk,modern,,States Coopersburg,360 tix,$ 955,Jason Zielinski,1st,,Harbinger of the Tides,,407974,4,Creatures,states-coopersburg-2016-04-24,states-coopersburg
3,2016-04-24,Merfolk,modern,,States Coopersburg,360 tix,$ 955,Jason Zielinski,1st,,Lord of Atlantis,,407974,4,Creatures,states-coopersburg-2016-04-24,states-coopersburg
4,2016-04-24,Merfolk,modern,,States Coopersburg,360 tix,$ 955,Jason Zielinski,1st,,Master of the Pearl Trident,,407974,4,Creatures,states-coopersburg-2016-04-24,states-coopersburg
5,2016-04-24,Merfolk,modern,,States Coopersburg,360 tix,$ 955,Jason Zielinski,1st,,Silvergill Adept,,407974,4,Creatures,states-coopersburg-2016-04-24,states-coopersburg
6,2016-04-24,Merfolk,modern,,States Coopersburg,360 tix,$ 955,Jason Zielinski,1st,,Merrow Reejerey,,407974,3,Creatures,states-coopersburg-2016-04-24,states-coopersburg
7,2016-04-24,Merfolk,modern,,States Coopersburg,360 tix,$ 955,Jason Zielinski,1st,,Master of Waves,,407974,3,Creatures,states-coopersburg-2016-04-24,states-coopersburg
9,2016-04-24,Merfolk,modern,,States Coopersburg,360 tix,$ 955,Jason Zielinski,1st,,Dismember,,407974,2,Spells,states-coopersburg-2016-04-24,states-coopersburg
11,2016-04-24,Merfolk,modern,,States Coopersburg,360 tix,$ 955,Jason Zielinski,1st,,Chalice of the Void,,407974,4,Artifacts,states-coopersburg-2016-04-24,states-coopersburg
12,2016-04-24,Merfolk,modern,,States Coopersburg,360 tix,$ 955,Jason Zielinski,1st,,Aether Vial,,407974,4,Artifacts,states-coopersburg-2016-04-24,states-coopersburg
14,2016-04-24,Merfolk,modern,,States Coopersburg,360 tix,$ 955,Jason Zielinski,1st,,Spreading Seas,,407974,4,Enchantments,states-coopersburg-2016-04-24,states-coopersburg
