,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Blistercoil Weird,,414933,4,Creatures,modern-league-2016-05-12,modern-league-2016-05-12
2,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Monastery Swiftspear,,414933,4,Creatures,modern-league-2016-05-12,modern-league-2016-05-12
3,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Kiln Fiend,,414933,4,Creatures,modern-league-2016-05-12,modern-league-2016-05-12
5,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Assault Strobe,,414933,4,Spells,modern-league-2016-05-12,modern-league-2016-05-12
6,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Brute Force,,414933,4,Spells,modern-league-2016-05-12,modern-league-2016-05-12
7,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Mutagenic Growth,,414933,4,Spells,modern-league-2016-05-12,modern-league-2016-05-12
8,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Titan's Strength,,414933,4,Spells,modern-league-2016-05-12,modern-league-2016-05-12
9,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Apostle's Blessing,,414933,4,Spells,modern-league-2016-05-12,modern-league-2016-05-12
10,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Desperate Ritual,,414933,4,Spells,modern-league-2016-05-12,modern-league-2016-05-12
11,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Manamorphose,,414933,4,Spells,modern-league-2016-05-12,modern-league-2016-05-12
12,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Temur Battle Rage,,414933,4,Spells,modern-league-2016-05-12,modern-league-2016-05-12
14,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Mountain,,414933,16,Lands,modern-league-2016-05-12,modern-league-2016-05-12
16,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Akroan Crusader,,414933,2,Sideboard,modern-league-2016-05-12,modern-league-2016-05-12
17,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Gut Shot,,414933,4,Sideboard,modern-league-2016-05-12,modern-league-2016-05-12
18,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Lightning Bolt,,414933,4,Sideboard,modern-league-2016-05-12,modern-league-2016-05-12
19,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Smash to Smithereens,,414933,2,Sideboard,modern-league-2016-05-12,modern-league-2016-05-12
20,2016-05-12,Blistering Rage,modern,0,Modern League 2016-05-12,14 tix,$ 83,RecklessRawk,,5,Young Pyromancer,,414933,3,Sideboard,modern-league-2016-05-12,modern-league-2016-05-12
1,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Goblin Guide,,414931,4,Creatures,modern-league-2016-05-12,modern-league-2016-05-12
2,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Grim Lavamancer,,414931,2,Creatures,modern-league-2016-05-12,modern-league-2016-05-12
3,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Monastery Swiftspear,,414931,4,Creatures,modern-league-2016-05-12,modern-league-2016-05-12
4,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Eidolon of the Great Revel,,414931,4,Creatures,modern-league-2016-05-12,modern-league-2016-05-12
6,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Lava Spike,,414931,4,Spells,modern-league-2016-05-12,modern-league-2016-05-12
7,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Lightning Bolt,,414931,4,Spells,modern-league-2016-05-12,modern-league-2016-05-12
8,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Atarka's Command,,414931,4,Spells,modern-league-2016-05-12,modern-league-2016-05-12
9,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Boros Charm,,414931,4,Spells,modern-league-2016-05-12,modern-league-2016-05-12
10,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Lightning Helix,,414931,2,Spells,modern-league-2016-05-12,modern-league-2016-05-12
11,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Searing Blaze,,414931,3,Spells,modern-league-2016-05-12,modern-league-2016-05-12
12,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Skullcrack,,414931,2,Spells,modern-league-2016-05-12,modern-league-2016-05-12
13,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Rift Bolt,,414931,3,Spells,modern-league-2016-05-12,modern-league-2016-05-12
15,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Arid Mesa,,414931,4,Lands,modern-league-2016-05-12,modern-league-2016-05-12
16,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Bloodstained Mire,,414931,2,Lands,modern-league-2016-05-12,modern-league-2016-05-12
17,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Mountain,,414931,2,Lands,modern-league-2016-05-12,modern-league-2016-05-12
18,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Sacred Foundry,,414931,4,Lands,modern-league-2016-05-12,modern-league-2016-05-12
19,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Scalding Tarn,,414931,4,Lands,modern-league-2016-05-12,modern-league-2016-05-12
20,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Stomping Ground,,414931,2,Lands,modern-league-2016-05-12,modern-league-2016-05-12
21,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Wooded Foothills,,414931,2,Lands,modern-league-2016-05-12,modern-league-2016-05-12
23,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Path to Exile,,414931,2,Sideboard,modern-league-2016-05-12,modern-league-2016-05-12
24,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Deflecting Palm,,414931,1,Sideboard,modern-league-2016-05-12,modern-league-2016-05-12
25,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Destructive Revelry,,414931,4,Sideboard,modern-league-2016-05-12,modern-league-2016-05-12
26,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Kor Firewalker,,414931,3,Sideboard,modern-league-2016-05-12,modern-league-2016-05-12
27,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Reality Hemorrhage,,414931,2,Sideboard,modern-league-2016-05-12,modern-league-2016-05-12
28,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Torpor Orb,,414931,1,Sideboard,modern-league-2016-05-12,modern-league-2016-05-12
29,2016-05-12,Burn,modern,0,Modern League 2016-05-12,276 tix,$ 894,creaney,,5,Molten Rain,,414931,2,Sideboard,modern-league-2016-05-12,modern-league-2016-05-12
1,2016-05-12,Bushwacker Zoo,modern,0,Modern League 2016-05-12,158 tix,$ 558,DiscoVick,,5,Experiment One,,414934,4,Creatures,modern-league-2016-05-12,modern-league-2016-05-12
2,2016-05-12,Bushwacker Zoo,modern,0,Modern League 2016-05-12,158 tix,$ 558,DiscoVick,,5,Goblin Guide,,414934,4,Creatures,modern-league-2016-05-12,modern-league-2016-05-12
3,2016-05-12,Bushwacker Zoo,modern,0,Modern League 2016-05-12,158 tix,$ 558,DiscoVick,,5,Kird Ape,,414934,4,Creatures,modern-league-2016-05-12,modern-league-2016-05-12
