,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Grim Lavamancer,,331464,1,Creatures,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
2,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Snapcaster Mage,,331464,4,Creatures,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
3,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Deceiver Exarch,,331464,4,Creatures,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
4,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Pestermite,,331464,2,Creatures,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
5,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Vendilion Clique,,331464,1,Creatures,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
7,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Dispel,,331464,1,Spells,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
8,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Lightning Bolt,,331464,4,Spells,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
9,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Path to Exile,,331464,3,Spells,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
10,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Serum Visions,,331464,4,Spells,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
11,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Spell Snare,,331464,1,Spells,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
12,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Remand,,331464,4,Spells,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
13,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Electrolyze,,331464,2,Spells,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
14,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Cryptic Command,,331464,2,Spells,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
16,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Splinter Twin,,331464,4,Enchantments,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
18,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Celestial Colonnade,,331464,1,Lands,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
19,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Desolate Lighthouse,,331464,2,Lands,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
20,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Flooded Strand,,331464,4,Lands,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
21,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Hallowed Fountain,,331464,1,Lands,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
22,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Island,,331464,3,Lands,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
23,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Mountain,,331464,1,Lands,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
24,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Plains,,331464,1,Lands,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
25,2015-10-11,Splinter Twin,modern,,SCG Modern IQ Baton Rouge,321 tix,"$ 1,187",Connor Dismer,1st,,Sacred Foundry,,331464,1,Lands,scg-modern-iq-baton-rouge-2015-10-11,scg-modern-iq-baton-rouge
