,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Dryad Arbor,,294684,1,Creatures,modern-daily-8348880-2015-06-07,modern-daily-8348880
2,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Gladecover Scout,,294684,4,Creatures,modern-daily-8348880-2015-06-07,modern-daily-8348880
3,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Slippery Bogle,,294684,4,Creatures,modern-daily-8348880-2015-06-07,modern-daily-8348880
4,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Gaddock Teeg,,294684,1,Creatures,modern-daily-8348880-2015-06-07,modern-daily-8348880
5,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Kor Spiritdancer,,294684,4,Creatures,modern-daily-8348880-2015-06-07,modern-daily-8348880
7,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Path to Exile,,294684,1,Spells,modern-daily-8348880-2015-06-07,modern-daily-8348880
9,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Ethereal Armor,,294684,4,Enchantments,modern-daily-8348880-2015-06-07,modern-daily-8348880
10,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Hyena Umbra,,294684,4,Enchantments,modern-daily-8348880-2015-06-07,modern-daily-8348880
11,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Keen Sense,,294684,1,Enchantments,modern-daily-8348880-2015-06-07,modern-daily-8348880
12,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Rancor,,294684,4,Enchantments,modern-daily-8348880-2015-06-07,modern-daily-8348880
13,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Spider Umbra,,294684,4,Enchantments,modern-daily-8348880-2015-06-07,modern-daily-8348880
14,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Spirit Link,,294684,1,Enchantments,modern-daily-8348880-2015-06-07,modern-daily-8348880
15,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Daybreak Coronet,,294684,4,Enchantments,modern-daily-8348880-2015-06-07,modern-daily-8348880
16,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Spirit Mantle,,294684,2,Enchantments,modern-daily-8348880-2015-06-07,modern-daily-8348880
17,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Suppression Field,,294684,2,Enchantments,modern-daily-8348880-2015-06-07,modern-daily-8348880
18,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Unflinching Courage,,294684,1,Enchantments,modern-daily-8348880-2015-06-07,modern-daily-8348880
20,2015-06-07,Bogles,modern,0,Modern Daily #8348880,122 tix,$ 540,Krazylawlko,,4,Brushland,,294684,4,Lands,modern-daily-8348880-2015-06-07,modern-daily-8348880
