,number,card,card_type,type,Place,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
1,4,Elvish Mystic,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
2,4,Heritage Druid,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
3,4,Llanowar Elves,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
4,4,Nettle Sentinel,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
5,3,Dwynen's Elite,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
6,3,Elvish Visionary,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
7,1,Spellskite,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
8,4,Elvish Archdruid,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
9,2,"Ezuri, Renegade Leader",,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
10,1,Reclamation Sage,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
11,1,Shaman of the Pack,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
12,1,Craterhoof Behemoth,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
14,4,Chord of Calling,,Spells,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
15,2,Lead the Stampede,,Spells,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
16,4,Collected Company,,Spells,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
18,4,Cavern of Souls,,Lands,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
19,8,Forest,,Lands,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
20,3,Gilt-Leaf Palace,,Lands,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
21,3,"Nykthos, Shrine to Nyx",,Lands,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
23,1,"Melira, Sylvok Outcast",,Sideboard,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
24,2,Scavenging Ooze,,Sideboard,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
25,1,Spellskite,,Sideboard,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
26,2,Choke,,Sideboard,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
27,1,Dismember,,Sideboard,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
28,2,Kitchen Finks,,Sideboard,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
29,1,Shaman of the Pack,,Sideboard,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
30,2,Fracturing Gust,,Sideboard,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
1,4,Goblin Guide,,Creatures,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
2,1,Grim Lavamancer,,Creatures,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
3,4,Monastery Swiftspear,,Creatures,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
4,4,Wild Nacatl,,Creatures,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
5,4,Eidolon of the Great Revel,,Creatures,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
7,4,Lava Spike,,Spells,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
8,4,Lightning Bolt,,Spells,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
9,4,Atarka's Command,,Spells,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
10,4,Boros Charm,,Spells,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
11,3,Searing Blaze,,Spells,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
12,1,Exquisite Firecraft,,Spells,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
13,4,Rift Bolt,,Spells,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
15,4,Arid Mesa,,Lands,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
16,2,Copperline Gorge,,Lands,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
17,2,Mountain,,Lands,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
18,4,Sacred Foundry,,Lands,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
19,3,Stomping Ground,,Lands,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
20,4,Wooded Foothills,,Lands,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
22,2,Path to Exile,,Sideboard,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
23,2,Rending Volley,,Sideboard,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
24,2,Deflecting Palm,,Sideboard,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
25,3,Destructive Revelry,,Sideboard,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
26,2,Kor Firewalker,,Sideboard,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
27,2,Ensnaring Bridge,,Sideboard,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
28,2,Molten Rain,,Sideboard,2nd,Naya Burn,Ricky Goff,230 tix,$ 689,332007,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
1,4,Experiment One,,Creatures,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
2,4,Goblin Guide,,Creatures,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
3,1,Grim Lavamancer,,Creatures,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
4,4,Kird Ape,,Creatures,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
5,4,Wild Nacatl,,Creatures,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
6,4,Burning-Tree Emissary,,Creatures,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
7,4,Tarmogoyf,,Creatures,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
8,2,Ghor-Clan Rampager,,Creatures,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
10,4,Lightning Bolt,,Spells,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
11,4,Path to Exile,,Spells,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
12,2,Vines of Vastwood,,Spells,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
13,4,Atarka's Command,,Spells,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
15,3,Arid Mesa,,Lands,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
16,1,Forest,,Lands,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
17,1,Mountain,,Lands,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
18,1,Plains,,Lands,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
19,1,Sacred Foundry,,Lands,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
20,3,Stomping Ground,,Lands,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
21,1,Temple Garden,,Lands,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
22,4,Windswept Heath,,Lands,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
23,4,Wooded Foothills,,Lands,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
25,1,Rending Volley,,Sideboard,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
26,2,Ancient Grudge,,Sideboard,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
27,2,Destructive Revelry,,Sideboard,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
28,3,Kor Firewalker,,Sideboard,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
29,2,Scavenging Ooze,,Sideboard,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
30,2,Stony Silence,,Sideboard,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
31,1,Blood Moon,,Sideboard,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
32,2,Choke,,Sideboard,3rd,Zoo,Pablo Velez,283 tix,$ 896,332008,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
1,3,Birds of Paradise,,Creatures,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
2,2,Noble Hierarch,,Creatures,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
3,3,Leonin Arbiter,,Creatures,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
4,2,Qasali Pridemage,,Creatures,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
5,3,Scavenging Ooze,,Creatures,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
6,3,"Thalia, Guardian of Thraben",,Creatures,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
7,3,Voice of Resurgence,,Creatures,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
8,2,Aven Mindcensor,,Creatures,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
9,2,"Brimaz, King of Oreskos",,Creatures,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
10,3,Kitchen Finks,,Creatures,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
11,3,Loxodon Smiter,,Creatures,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
13,4,Path to Exile,,Spells,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
14,4,Collected Company,,Spells,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
16,2,Forest,,Lands,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
17,1,Gavony Township,,Lands,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
18,4,Ghost Quarter,,Lands,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
19,3,Plains,,Lands,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
20,4,Razorverge Thicket,,Lands,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
21,1,Stirring Wildwood,,Lands,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
22,4,Sunpetal Grove,,Lands,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
23,4,Temple Garden,,Lands,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
25,3,"Kataki, War's Wage",,Sideboard,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
26,2,Qasali Pridemage,,Sideboard,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
27,3,Choke,,Sideboard,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
28,4,Eidolon of Rhetoric,,Sideboard,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
29,3,Leyline of Sanctity,,Sideboard,4th,G/W Hate Bears,Chad Ballay,234 tix,$ 690,332009,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
1,4,Delver of Secrets,,Creatures,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
2,3,Snapcaster Mage,,Creatures,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
3,2,Young Pyromancer,,Creatures,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
4,4,Hooting Mandrills,,Creatures,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
6,1,Burst Lightning,,Spells,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
7,1,Forked Bolt,,Spells,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
8,2,Gitaxian Probe,,Spells,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
9,4,Lightning Bolt,,Spells,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
10,4,Serum Visions,,Spells,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
11,1,Sleight of Hand,,Spells,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
12,3,Spell Pierce,,Spells,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
13,2,Spell Snare,,Spells,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
14,4,Thought Scour,,Spells,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
15,2,Vapor Snag,,Spells,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
16,2,Deprive,,Spells,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
17,4,Remand,,Spells,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
19,2,Breeding Pool,,Lands,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
20,2,Flooded Strand,,Lands,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
21,2,Island,,Lands,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
22,1,Mountain,,Lands,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
23,2,Polluted Delta,,Lands,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
24,4,Scalding Tarn,,Lands,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
25,4,Steam Vents,,Lands,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
27,2,Dispel,,Sideboard,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
28,1,Pithing Needle,,Sideboard,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
29,2,Ancient Grudge,,Sideboard,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
30,2,Destructive Revelry,,Sideboard,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
31,2,Dragon's Claw,,Sideboard,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
32,2,Feed the Clan,,Sideboard,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
33,1,Roast,,Sideboard,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
34,2,Spreading Seas,,Sideboard,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
35,1,Dismember,,Sideboard,5th,Temur Tempo,Graham Wyly,184 tix,$ 802,332010,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
