,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Simian Spirit Guide,,347164,4,Creatures,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
2,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Borborygmos Enraged,,347164,2,Creatures,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
3,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Griselbrand,,347164,4,Creatures,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
4,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Worldspine Wurm,,347164,4,Creatures,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
6,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Faithless Looting,,347164,4,Spells,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
7,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Noxious Revival,,347164,1,Spells,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
8,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Desperate Ritual,,347164,2,Spells,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
9,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Goryo's Vengeance,,347164,4,Spells,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
10,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Manamorphose,,347164,2,Spells,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
11,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Night's Whisper,,347164,4,Spells,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
12,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Nourishing Shoal,,347164,4,Spells,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
13,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Tormenting Voice,,347164,2,Spells,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
14,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Through the Breach,,347164,4,Spells,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
16,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Blackcleave Cliffs,,347164,3,Lands,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
17,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Blood Crypt,,347164,2,Lands,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
18,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Bloodstained Mire,,347164,4,Lands,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
19,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,"Boseiju, Who Shelters All",,347164,1,Lands,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
20,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Mountain,,347164,2,Lands,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
21,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Swamp,,347164,3,Lands,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
22,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Temple of Malice,,347164,4,Lands,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
24,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Pact of Negation,,347164,2,Sideboard,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
25,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Thoughtseize,,347164,1,Sideboard,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
26,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Vandalblast,,347164,1,Sideboard,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
27,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Pyroclasm,,347164,2,Sideboard,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
28,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Terminate,,347164,2,Sideboard,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
29,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Torpor Orb,,347164,2,Sideboard,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
30,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Anger of the Gods,,347164,1,Sideboard,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
31,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Blood Moon,,347164,3,Sideboard,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
32,2015-11-29,Grishoalbrand,modern,,SCG Modern Premier IQ Somerset,269 tix,$ 971,Bob Huang,1st,,Shatterstorm,,347164,1,Sideboard,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
1,2015-11-29,Zoo,modern,,SCG Modern Premier IQ Somerset,263 tix,$ 818,Justin Moss,2nd,,Experiment One,,347165,4,Creatures,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
2,2015-11-29,Zoo,modern,,SCG Modern Premier IQ Somerset,263 tix,$ 818,Justin Moss,2nd,,Kird Ape,,347165,4,Creatures,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
3,2015-11-29,Zoo,modern,,SCG Modern Premier IQ Somerset,263 tix,$ 818,Justin Moss,2nd,,Wild Nacatl,,347165,4,Creatures,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
4,2015-11-29,Zoo,modern,,SCG Modern Premier IQ Somerset,263 tix,$ 818,Justin Moss,2nd,,Burning-Tree Emissary,,347165,4,Creatures,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
5,2015-11-29,Zoo,modern,,SCG Modern Premier IQ Somerset,263 tix,$ 818,Justin Moss,2nd,,Flinthoof Boar,,347165,4,Creatures,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
6,2015-11-29,Zoo,modern,,SCG Modern Premier IQ Somerset,263 tix,$ 818,Justin Moss,2nd,,Tarmogoyf,,347165,4,Creatures,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
7,2015-11-29,Zoo,modern,,SCG Modern Premier IQ Somerset,263 tix,$ 818,Justin Moss,2nd,,Ghor-Clan Rampager,,347165,3,Creatures,scg-modern-premier-iq-somerset-2015-11-29,scg-modern-premier-iq-somerset
