,number,card,card_type,type,W,L,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
1,4,Dark Confidant,,Creatures,5,0,Junk,smashilha,626 tix,"$ 1,994",242023,2014-08-04,Modern Premier #7332856,modern,modern-premier-7332856,modern-premier-7332856-2014-08-04
2,3,Scavenging Ooze,,Creatures,5,0,Junk,smashilha,626 tix,"$ 1,994",242023,2014-08-04,Modern Premier #7332856,modern,modern-premier-7332856,modern-premier-7332856-2014-08-04
3,4,Tarmogoyf,,Creatures,5,0,Junk,smashilha,626 tix,"$ 1,994",242023,2014-08-04,Modern Premier #7332856,modern,modern-premier-7332856,modern-premier-7332856-2014-08-04
5,4,Liliana of the Veil,,Planeswalkers,5,0,Junk,smashilha,626 tix,"$ 1,994",242023,2014-08-04,Modern Premier #7332856,modern,modern-premier-7332856,modern-premier-7332856-2014-08-04
7,2,Slaughter Pact,,Spells,5,0,Junk,smashilha,626 tix,"$ 1,994",242023,2014-08-04,Modern Premier #7332856,modern,modern-premier-7332856,modern-premier-7332856-2014-08-04
8,3,Inquisition of Kozilek,,Spells,5,0,Junk,smashilha,626 tix,"$ 1,994",242023,2014-08-04,Modern Premier #7332856,modern,modern-premier-7332856,modern-premier-7332856-2014-08-04
9,4,Thoughtseize,,Spells,5,0,Junk,smashilha,626 tix,"$ 1,994",242023,2014-08-04,Modern Premier #7332856,modern,modern-premier-7332856,modern-premier-7332856-2014-08-04
10,4,Abrupt Decay,,Spells,5,0,Junk,smashilha,626 tix,"$ 1,994",242023,2014-08-04,Modern Premier #7332856,modern,modern-premier-7332856,modern-premier-7332856-2014-08-04
11,2,Dismember,,Spells,5,0,Junk,smashilha,626 tix,"$ 1,994",242023,2014-08-04,Modern Premier #7332856,modern,modern-premier-7332856,modern-premier-7332856-2014-08-04
12,4,Lingering Souls,,Spells,5,0,Junk,smashilha,626 tix,"$ 1,994",242023,2014-08-04,Modern Premier #7332856,modern,modern-premier-7332856,modern-premier-7332856-2014-08-04
13,1,Maelstrom Pulse,,Spells,5,0,Junk,smashilha,626 tix,"$ 1,994",242023,2014-08-04,Modern Premier #7332856,modern,modern-premier-7332856,modern-premier-7332856-2014-08-04
15,1,Forest,,Lands,5,0,Junk,smashilha,626 tix,"$ 1,994",242023,2014-08-04,Modern Premier #7332856,modern,modern-premier-7332856,modern-premier-7332856-2014-08-04
16,1,Godless Shrine,,Lands,5,0,Junk,smashilha,626 tix,"$ 1,994",242023,2014-08-04,Modern Premier #7332856,modern,modern-premier-7332856,modern-premier-7332856-2014-08-04
