,number,card,card_type,type,W,L,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
1,4,Goblin Guide,,Creatures,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
2,4,Monastery Swiftspear,,Creatures,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
3,4,Eidolon of the Great Revel,,Creatures,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
5,4,Lava Spike,,Spells,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
6,4,Lightning Bolt,,Spells,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
7,2,Shard Volley,,Spells,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
8,4,Boros Charm,,Spells,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
9,3,Searing Blaze,,Spells,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
10,4,Skullcrack,,Spells,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
11,4,Rift Bolt,,Spells,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
12,3,Treasure Cruise,,Spells,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
14,4,Arid Mesa,,Lands,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
15,2,Bloodstained Mire,,Lands,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
16,6,Mountain,,Lands,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
17,2,Sacred Foundry,,Lands,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
18,4,Scalding Tarn,,Lands,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
19,2,Steam Vents,,Lands,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
21,1,Wear & Tear,,Sideboard,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
22,4,Dragon's Claw,,Sideboard,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
23,1,Searing Blaze,,Sideboard,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
24,4,Smash to Smithereens,,Sideboard,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
25,3,Geist of Saint Traft,,Sideboard,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
26,2,Volcanic Fallout,,Sideboard,4,0,Cruise Burn,sebsa,242 tix,$ 790,250252,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
1,4,Noble Hierarch,,Creatures,4,0,GW Hate Bears,CharlieTheBananaKing,478 tix,$ 861,250254,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
2,1,Gaddock Teeg,,Creatures,4,0,GW Hate Bears,CharlieTheBananaKing,478 tix,$ 861,250254,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
3,4,Leonin Arbiter,,Creatures,4,0,GW Hate Bears,CharlieTheBananaKing,478 tix,$ 861,250254,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
4,2,Qasali Pridemage,,Creatures,4,0,GW Hate Bears,CharlieTheBananaKing,478 tix,$ 861,250254,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
5,3,Scavenging Ooze,,Creatures,4,0,GW Hate Bears,CharlieTheBananaKing,478 tix,$ 861,250254,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
6,3,"Thalia, Guardian of Thraben",,Creatures,4,0,GW Hate Bears,CharlieTheBananaKing,478 tix,$ 861,250254,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
7,4,Blade Splicer,,Creatures,4,0,GW Hate Bears,CharlieTheBananaKing,478 tix,$ 861,250254,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
8,4,Flickerwisp,,Creatures,4,0,GW Hate Bears,CharlieTheBananaKing,478 tix,$ 861,250254,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
9,4,Restoration Angel,,Creatures,4,0,GW Hate Bears,CharlieTheBananaKing,478 tix,$ 861,250254,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
11,4,Path to Exile,,Spells,4,0,GW Hate Bears,CharlieTheBananaKing,478 tix,$ 861,250254,2014-11-03,Modern Daily #7620569,modern,modern-daily-7620569,modern-daily-7620569-2014-11-03
