,number,card,card_type,type,W,L,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
1,4,Dark Confidant,,Creatures,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
2,4,Scavenging Ooze,,Creatures,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
3,4,Tarmogoyf,,Creatures,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
4,3,Courser of Kruphix,,Creatures,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
5,1,Obstinate Baloth,,Creatures,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
7,3,Liliana of the Veil,,Planeswalkers,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
9,2,Slaughter Pact,,Spells,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
10,4,Inquisition of Kozilek,,Spells,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
11,3,Thoughtseize,,Spells,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
12,4,Abrupt Decay,,Spells,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
13,2,Dismember,,Spells,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
14,1,Maelstrom Pulse,,Spells,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
15,1,Putrefy,,Spells,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
17,1,Forest,,Lands,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
18,2,Marsh Flats,,Lands,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
19,3,Overgrown Tomb,,Lands,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
20,2,Swamp,,Lands,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
21,4,Tectonic Edge,,Lands,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
22,4,Treetop Village,,Lands,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
23,2,Twilight Mire,,Lands,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
24,1,"Urborg, Tomb of Yawgmoth",,Lands,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
25,4,Verdant Catacombs,,Lands,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
26,1,Woodland Cemetery,,Lands,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
28,2,Grafdigger's Cage,,Sideboard,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
29,2,Nature's Claim,,Sideboard,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
30,2,Devour Flesh,,Sideboard,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
31,2,Drown in Sorrow,,Sideboard,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
32,3,Fulminator Mage,,Sideboard,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
33,3,Creeping Corrosion,,Sideboard,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
34,1,Obstinate Baloth,,Sideboard,4,0,BG Rock,Schmirglie,516 tix,"$ 1,674",238083,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
1,3,Figure of Destiny,,Creatures,4,0,Junk,whiterknight,202 tix,$ 700,238085,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
2,4,Loam Lion,,Creatures,4,0,Junk,whiterknight,202 tix,$ 700,238085,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
3,4,Steppe Lynx,,Creatures,4,0,Junk,whiterknight,202 tix,$ 700,238085,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
4,3,Qasali Pridemage,,Creatures,4,0,Junk,whiterknight,202 tix,$ 700,238085,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
5,3,"Thalia, Guardian of Thraben",,Creatures,4,0,Junk,whiterknight,202 tix,$ 700,238085,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
6,4,Tidehollow Sculler,,Creatures,4,0,Junk,whiterknight,202 tix,$ 700,238085,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
7,2,Aven Mindcensor,,Creatures,4,0,Junk,whiterknight,202 tix,$ 700,238085,2014-06-17,Modern Daily #7190544,modern,modern-daily-7190544,modern-daily-7190544-2014-06-17
