,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Memnite,,832971,2,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
2,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Ornithopter,,832971,4,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
3,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Signal Pest,,832971,4,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
4,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Arcbound Ravager,,832971,4,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
5,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Steel Overseer,,832971,4,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
6,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Vault Skirge,,832971,4,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
7,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Etched Champion,,832971,2,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
8,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Master of Etherium,,832971,3,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
10,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Galvanic Blast,,832971,4,Spells,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
12,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Mox Opal,,832971,4,Artifacts,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
13,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Springleaf Drum,,832971,4,Artifacts,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
14,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Cranial Plating,,832971,4,Artifacts,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
16,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Blinkmoth Nexus,,832971,4,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
17,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Darksteel Citadel,,832971,4,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
18,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Glimmervoid,,832971,1,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
19,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Inkmoth Nexus,,832971,4,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
20,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Mountain,,832971,1,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
21,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Spire of Industry,,832971,3,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
23,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Dispatch,,832971,1,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
24,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Grafdigger's Cage,,832971,1,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
25,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Relic of Progenitus,,832971,2,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
26,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Spell Pierce,,832971,1,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
27,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Thoughtseize,,832971,2,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
28,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Ancient Grudge,,832971,2,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
29,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Whipflare,,832971,1,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
30,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Blood Moon,,832971,1,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
31,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Etched Champion,,832971,2,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
32,2017-11-18,Affinity,modern,1,Modern Regional PTQ #10999450,385 tix,$ 918,limitedlove,,7,Ghirapur Aether Grid,,832971,2,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
1,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Goblin Guide,,832970,4,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
2,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Grim Lavamancer,,832970,2,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
3,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Monastery Swiftspear,,832970,4,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
4,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Eidolon of the Great Revel,,832970,4,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
6,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Lava Spike,,832970,4,Spells,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
7,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Lightning Bolt,,832970,4,Spells,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
8,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Boros Charm,,832970,4,Spells,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
9,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Lightning Helix,,832970,4,Spells,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
10,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Searing Blaze,,832970,4,Spells,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
11,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Skullcrack,,832970,2,Spells,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
12,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Rift Bolt,,832970,4,Spells,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
14,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Arid Mesa,,832970,4,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
15,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Bloodstained Mire,,832970,3,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
16,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Inspiring Vantage,,832970,4,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
17,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Mountain,,832970,3,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
18,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Sacred Foundry,,832970,2,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
19,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Wooded Foothills,,832970,4,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
21,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Chained to the Rocks,,832970,3,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
22,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Grim Lavamancer,,832970,1,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
23,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Path to Exile,,832970,1,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
24,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Shattering Spree,,832970,1,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
25,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Deflecting Palm,,832970,1,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
26,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Searing Blood,,832970,4,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
27,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Skullcrack,,832970,2,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
28,2017-11-18,Burn,modern,1,Modern Regional PTQ #10999450,174 tix,$ 596,TheArtOfRuin,,7,Smash to Smithereens,,832970,2,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
1,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Insolent Neonate,,832967,4,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
2,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Bloodghast,,832967,4,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
3,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Golgari Thug,,832967,4,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
4,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Narcomoeba,,832967,4,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
5,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Prized Amalgam,,832967,4,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
6,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Stinkweed Imp,,832967,4,Creatures,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
8,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Conflagrate,,832967,3,Spells,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
9,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Darkblast,,832967,1,Spells,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
10,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Faithless Looting,,832967,4,Spells,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
11,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Cathartic Reunion,,832967,4,Spells,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
12,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Collective Brutality,,832967,1,Spells,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
13,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Life from the Loam,,832967,3,Spells,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
15,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Blackcleave Cliffs,,832967,3,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
16,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Copperline Gorge,,832967,4,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
17,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Dakmor Salvage,,832967,3,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
18,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Gemstone Mine,,832967,4,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
19,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Karplusan Forest,,832967,1,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
20,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Mana Confluence,,832967,4,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
21,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Mountain,,832967,1,Lands,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
23,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Darkblast,,832967,1,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
24,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Lightning Axe,,832967,2,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
25,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Surgical Extraction,,832967,2,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
26,2017-11-18,Dredge,modern,1,Modern Regional PTQ #10999450,256 tix,$ 537,BradPitKeeper,,7,Abrupt Decay,,832967,2,Sideboard,modern-regional-ptq-10999450-2017-11-18,modern-regional-ptq-10999450
