,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2017-10-22,Affinity,modern,,SCG Modern Classic Cincinnati,374 tix,$ 920,Pieter Tubergen,1st,,Memnite,,802635,2,Creatures,scg-modern-classic-cincinnati-2017-10-22,scg-modern-classic-cincinnati
2,2017-10-22,Affinity,modern,,SCG Modern Classic Cincinnati,374 tix,$ 920,Pieter Tubergen,1st,,Ornithopter,,802635,4,Creatures,scg-modern-classic-cincinnati-2017-10-22,scg-modern-classic-cincinnati
3,2017-10-22,Affinity,modern,,SCG Modern Classic Cincinnati,374 tix,$ 920,Pieter Tubergen,1st,,Hope of Ghirapur,,802635,1,Creatures,scg-modern-classic-cincinnati-2017-10-22,scg-modern-classic-cincinnati
4,2017-10-22,Affinity,modern,,SCG Modern Classic Cincinnati,374 tix,$ 920,Pieter Tubergen,1st,,Signal Pest,,802635,4,Creatures,scg-modern-classic-cincinnati-2017-10-22,scg-modern-classic-cincinnati
5,2017-10-22,Affinity,modern,,SCG Modern Classic Cincinnati,374 tix,$ 920,Pieter Tubergen,1st,,Arcbound Ravager,,802635,4,Creatures,scg-modern-classic-cincinnati-2017-10-22,scg-modern-classic-cincinnati
6,2017-10-22,Affinity,modern,,SCG Modern Classic Cincinnati,374 tix,$ 920,Pieter Tubergen,1st,,Steel Overseer,,802635,3,Creatures,scg-modern-classic-cincinnati-2017-10-22,scg-modern-classic-cincinnati
7,2017-10-22,Affinity,modern,,SCG Modern Classic Cincinnati,374 tix,$ 920,Pieter Tubergen,1st,,Vault Skirge,,802635,3,Creatures,scg-modern-classic-cincinnati-2017-10-22,scg-modern-classic-cincinnati
8,2017-10-22,Affinity,modern,,SCG Modern Classic Cincinnati,374 tix,$ 920,Pieter Tubergen,1st,,Master of Etherium,,802635,3,Creatures,scg-modern-classic-cincinnati-2017-10-22,scg-modern-classic-cincinnati
10,2017-10-22,Affinity,modern,,SCG Modern Classic Cincinnati,374 tix,$ 920,Pieter Tubergen,1st,,Galvanic Blast,,802635,1,Spells,scg-modern-classic-cincinnati-2017-10-22,scg-modern-classic-cincinnati
11,2017-10-22,Affinity,modern,,SCG Modern Classic Cincinnati,374 tix,$ 920,Pieter Tubergen,1st,,Temur Battle Rage,,802635,1,Spells,scg-modern-classic-cincinnati-2017-10-22,scg-modern-classic-cincinnati
