,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Walking Ballista,,701882,4,Creatures,modern-challenge-10757685,modern-challenge-10757685
2,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Matter Reshaper,,701882,4,Creatures,modern-challenge-10757685,modern-challenge-10757685
3,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Thought-Knot Seer,,701882,4,Creatures,modern-challenge-10757685,modern-challenge-10757685
4,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Reality Smasher,,701882,4,Creatures,modern-challenge-10757685,modern-challenge-10757685
5,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Endbringer,,701882,2,Creatures,modern-challenge-10757685,modern-challenge-10757685
6,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,"Ulamog, the Ceaseless Hunger",,701882,1,Creatures,modern-challenge-10757685,modern-challenge-10757685
8,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Karn Liberated,,701882,2,Planeswalkers,modern-challenge-10757685,modern-challenge-10757685
10,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Dismember,,701882,2,Spells,modern-challenge-10757685,modern-challenge-10757685
11,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,All Is Dust,,701882,2,Spells,modern-challenge-10757685,modern-challenge-10757685
13,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Chalice of the Void,,701882,4,Artifacts,modern-challenge-10757685,modern-challenge-10757685
14,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Expedition Map,,701882,4,Artifacts,modern-challenge-10757685,modern-challenge-10757685
15,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Relic of Progenitus,,701882,1,Artifacts,modern-challenge-10757685,modern-challenge-10757685
16,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Mind Stone,,701882,2,Artifacts,modern-challenge-10757685,modern-challenge-10757685
18,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Cavern of Souls,,701882,2,Lands,modern-challenge-10757685,modern-challenge-10757685
19,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Eldrazi Temple,,701882,4,Lands,modern-challenge-10757685,modern-challenge-10757685
20,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Ghost Quarter,,701882,3,Lands,modern-challenge-10757685,modern-challenge-10757685
21,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Sea Gate Wreckage,,701882,1,Lands,modern-challenge-10757685,modern-challenge-10757685
22,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Urza's Mine,,701882,4,Lands,modern-challenge-10757685,modern-challenge-10757685
23,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Urza's Power Plant,,701882,4,Lands,modern-challenge-10757685,modern-challenge-10757685
24,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Urza's Tower,,701882,4,Lands,modern-challenge-10757685,modern-challenge-10757685
25,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Wastes,,701882,2,Lands,modern-challenge-10757685,modern-challenge-10757685
27,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Hangarback Walker,,701882,2,Sideboard,modern-challenge-10757685,modern-challenge-10757685
28,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Basilisk Collar,,701882,1,Sideboard,modern-challenge-10757685,modern-challenge-10757685
29,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Grafdigger's Cage,,701882,2,Sideboard,modern-challenge-10757685,modern-challenge-10757685
30,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Pithing Needle,,701882,1,Sideboard,modern-challenge-10757685,modern-challenge-10757685
31,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Relic of Progenitus,,701882,2,Sideboard,modern-challenge-10757685,modern-challenge-10757685
32,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Surgical Extraction,,701882,2,Sideboard,modern-challenge-10757685,modern-challenge-10757685
33,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Ratchet Bomb,,701882,2,Sideboard,modern-challenge-10757685,modern-challenge-10757685
34,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Warping Wail,,701882,2,Sideboard,modern-challenge-10757685,modern-challenge-10757685
35,2017-07-15,Eldrazi Tron,modern,0,Modern Challenge #10757685,476 tix,$ 999,Havik917,,6,Wurmcoil Engine,,701882,1,Sideboard,modern-challenge-10757685,modern-challenge-10757685
1,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Faerie Macabre,,701879,2,Creatures,modern-challenge-10757685,modern-challenge-10757685
2,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Fulminator Mage,,701879,4,Creatures,modern-challenge-10757685,modern-challenge-10757685
3,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Simian Spirit Guide,,701879,3,Creatures,modern-challenge-10757685,modern-challenge-10757685
4,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Archfiend of Ifnir,,701879,2,Creatures,modern-challenge-10757685,modern-challenge-10757685
5,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Horror of the Broken Lands,,701879,4,Creatures,modern-challenge-10757685,modern-challenge-10757685
6,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Monstrous Carabid,,701879,4,Creatures,modern-challenge-10757685,modern-challenge-10757685
7,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Street Wraith,,701879,4,Creatures,modern-challenge-10757685,modern-challenge-10757685
8,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Desert Cerodon,,701879,4,Creatures,modern-challenge-10757685,modern-challenge-10757685
10,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Living End,,701879,3,Spells,modern-challenge-10757685,modern-challenge-10757685
11,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Beast Within,,701879,3,Spells,modern-challenge-10757685,modern-challenge-10757685
12,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Demonic Dread,,701879,4,Spells,modern-challenge-10757685,modern-challenge-10757685
13,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Violent Outburst,,701879,4,Spells,modern-challenge-10757685,modern-challenge-10757685
15,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Blackcleave Cliffs,,701879,4,Lands,modern-challenge-10757685,modern-challenge-10757685
16,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Blood Crypt,,701879,1,Lands,modern-challenge-10757685,modern-challenge-10757685
17,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Bloodstained Mire,,701879,1,Lands,modern-challenge-10757685,modern-challenge-10757685
18,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Blooming Marsh,,701879,1,Lands,modern-challenge-10757685,modern-challenge-10757685
19,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Forest,,701879,1,Lands,modern-challenge-10757685,modern-challenge-10757685
20,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Grove of the Burnwillows,,701879,3,Lands,modern-challenge-10757685,modern-challenge-10757685
21,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Overgrown Tomb,,701879,1,Lands,modern-challenge-10757685,modern-challenge-10757685
22,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Stomping Ground,,701879,1,Lands,modern-challenge-10757685,modern-challenge-10757685
23,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Swamp,,701879,2,Lands,modern-challenge-10757685,modern-challenge-10757685
24,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Verdant Catacombs,,701879,4,Lands,modern-challenge-10757685,modern-challenge-10757685
26,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Lost Legacy,,701879,1,Sideboard,modern-challenge-10757685,modern-challenge-10757685
27,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Leyline of Sanctity,,701879,4,Sideboard,modern-challenge-10757685,modern-challenge-10757685
28,2017-07-15,Living End,modern,0,Modern Challenge #10757685,320 tix,"$ 1,053",GlauberT,,6,Leyline of the Void,,701879,4,Sideboard,modern-challenge-10757685,modern-challenge-10757685
