,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2017-08-13,4-Color Death's Shadow,modern,0,Competitive Modern League 2017-08-13,277 tix,$ 859,Higashi,,5,Death's Shadow,,729675,4,Creatures,competitive-modern-league-2017-08-13,competitive-modern-league-2017-08-13
2,2017-08-13,4-Color Death's Shadow,modern,0,Competitive Modern League 2017-08-13,277 tix,$ 859,Higashi,,5,Monastery Swiftspear,,729675,4,Creatures,competitive-modern-league-2017-08-13,competitive-modern-league-2017-08-13
3,2017-08-13,4-Color Death's Shadow,modern,0,Competitive Modern League 2017-08-13,277 tix,$ 859,Higashi,,5,Wild Nacatl,,729675,4,Creatures,competitive-modern-league-2017-08-13,competitive-modern-league-2017-08-13
4,2017-08-13,4-Color Death's Shadow,modern,0,Competitive Modern League 2017-08-13,277 tix,$ 859,Higashi,,5,Tarmogoyf,,729675,4,Creatures,competitive-modern-league-2017-08-13,competitive-modern-league-2017-08-13
5,2017-08-13,4-Color Death's Shadow,modern,0,Competitive Modern League 2017-08-13,277 tix,$ 859,Higashi,,5,Street Wraith,,729675,4,Creatures,competitive-modern-league-2017-08-13,competitive-modern-league-2017-08-13
7,2017-08-13,4-Color Death's Shadow,modern,0,Competitive Modern League 2017-08-13,277 tix,$ 859,Higashi,,5,Lightning Bolt,,729675,4,Spells,competitive-modern-league-2017-08-13,competitive-modern-league-2017-08-13
8,2017-08-13,4-Color Death's Shadow,modern,0,Competitive Modern League 2017-08-13,277 tix,$ 859,Higashi,,5,Might of Alara,,729675,4,Spells,competitive-modern-league-2017-08-13,competitive-modern-league-2017-08-13
9,2017-08-13,4-Color Death's Shadow,modern,0,Competitive Modern League 2017-08-13,277 tix,$ 859,Higashi,,5,Mutagenic Growth,,729675,4,Spells,competitive-modern-league-2017-08-13,competitive-modern-league-2017-08-13
10,2017-08-13,4-Color Death's Shadow,modern,0,Competitive Modern League 2017-08-13,277 tix,$ 859,Higashi,,5,Boros Charm,,729675,4,Spells,competitive-modern-league-2017-08-13,competitive-modern-league-2017-08-13
11,2017-08-13,4-Color Death's Shadow,modern,0,Competitive Modern League 2017-08-13,277 tix,$ 859,Higashi,,5,Tribal Flames,,729675,4,Spells,competitive-modern-league-2017-08-13,competitive-modern-league-2017-08-13
13,2017-08-13,4-Color Death's Shadow,modern,0,Competitive Modern League 2017-08-13,277 tix,$ 859,Higashi,,5,Rancor,,729675,2,Enchantments,competitive-modern-league-2017-08-13,competitive-modern-league-2017-08-13
15,2017-08-13,4-Color Death's Shadow,modern,0,Competitive Modern League 2017-08-13,277 tix,$ 859,Higashi,,5,Arid Mesa,,729675,2,Lands,competitive-modern-league-2017-08-13,competitive-modern-league-2017-08-13
16,2017-08-13,4-Color Death's Shadow,modern,0,Competitive Modern League 2017-08-13,277 tix,$ 859,Higashi,,5,Blood Crypt,,729675,1,Lands,competitive-modern-league-2017-08-13,competitive-modern-league-2017-08-13
17,2017-08-13,4-Color Death's Shadow,modern,0,Competitive Modern League 2017-08-13,277 tix,$ 859,Higashi,,5,Bloodstained Mire,,729675,4,Lands,competitive-modern-league-2017-08-13,competitive-modern-league-2017-08-13
18,2017-08-13,4-Color Death's Shadow,modern,0,Competitive Modern League 2017-08-13,277 tix,$ 859,Higashi,,5,Breeding Pool,,729675,1,Lands,competitive-modern-league-2017-08-13,competitive-modern-league-2017-08-13
